UUID,Area of Expertise,Programming,Past Experience,Course Prefs
71e792c3-5542-4478-9104-3d5ebc6a373e,"My area of expertise: Wireless networks, computer networks, network programming, and social networks. I was a TA in CS132, ICS45C, and CS230 at UCI; also, I was a TA in network programming at National Tsing Hua University, Taiwan.  I've held online discussion sessions and lab hours during the pandemic. I've published papers designing grouping algorithms in wireless systems in Globecom'15 and TMC and a paper about social networks in ICDE'19.","I used C/C++ on Ubuntu for implementing the simulations for my three papers and two projects for my three years long RA. Also, I managed one server with Ubuntu of my lab. I've been using Python for developing the simulation/algorithms for my research works at UCI.",CourseTitleInstructorPositionWhenCS 132COMPUTER NETWORKS Scott JordanTA2020-fallCS 230PDistributed SystemssNalini VenkatasubramaniamTA2021-winterICS 45CProgramming in C++ as a Second LangAlex ThorntonTA2021-spring,CourseTakenGradeCS 132NCS 232NICS 32ANICS 33N
51bc6669-f6b0-475d-9ed0-8a8f79dfe0f7,"I would consider myself an expert in data structures and algorithms, as I work with them regularly and took various related courses throughout my undergraduate career. I would also consider my area of expertise to be machine learning. At UCSB, I finished the machine learning/artificial intelligence sequence, and also took machine learning/artificial intelligence in design and testing courses. I worked with PwC on applying deep learning methods for wildfire prediction to aid in risk assessment. I also completed projects using machine learning in hackathons, including an award winning project that used machine learning to understand and translate sign language into written text. In terms of teaching, I have experience coaching high school FRC robotics teams, as well as tutoring elementary school students.","The majority of my experience lies in C, C++, and Python. I used C++ in most of my data structure/algorithm classes, and used C to program a project that simulated the behavior of a sports car's gearbox, including acceleration and changing gears. I used python for most of my machine learning projects, such as my PwC wildfire prediction model or a semiconductor failure pattern classifier. I have also used Java before on a project involving accessing a MongoDB database to find and display archived Slack data.  I am most familiar with using macOS, but also have experience with using Windows.",,CourseTakenGradeICS 31NICS 33NICS 45CNCS 171N
bee5c96d-8d89-4cff-ac92-5849bf5e44a5,"I have 4+ years of experience as a software engineer at Parabole. My areas of expertise revolve around databases, cloud, object oriented programming, machine learning. Apart from this I have completed many computer science courses in my bachelors as well as my masters. Some of them are: Data Structures, Algorithms, Object Oriented Programming, Operating Systems, Database Systems, Machine Learning & Data Mining, Text Processing, Software Engineering, Deep Learning, Internet of Things, Computer Security, Artificial Intelligence, Mathematics, Computer Networks, Automata Theory, Computer Architecture, Internet Programming, Cryptography, Cloud Computing, Software Design, Soft Computing, Operation Research, Big Data Analytics, User Interaction Design, Devops, Python Programming, Java Programming, C Programming, C++ Programming, R Programming","Programming languages: Python (professional experience 6 years), C++ (4 years), C (2 years), Java (1 year experience) SQL: professional experience (4) Linux: 7 Windows: 10  Technologies: Apache NiFi, Flask, Apache Kafka, REST APIs, PostgreSQL, Microsoft Azure, Kubernetes, Docker",,CourseTakenGradeSTAT 7NSTAT 8NINF 172NINF 43N
5b5a9b08-c31d-41c6-b5fa-6f2f3df0c0d5,"Embedded Systems, Operating Systems.",I mostly work in Linux-based environments. I could use C and C++. Have a little bit of experience in kernel hacking.,,CourseTakenGradeCS 232YCS 256N
ad0ad1e8-3c5d-4236-90cd-b7c934a1e0bc,"I have experience working with embedded systems, Android Automotive systems, failure analysis, and development processes. I have experience leading and coaching team members, yet don't have much experience in teaching courses.","I have work experience with Java, C, and C++. I am familiar with Linux and Android.",,CourseTakenGradeCS 147NCS 132NCS 134NCS 143AN
bbab5221-3712-48fd-bb3d-0ce6772dfaa7,"I have worked as a teaching assistant for Algorithms and Data Structures, Data Management, and Introduction to Computer Science during my undergraduate studies. And half of my teaching was online for the first two courses due to the COVID-19 pandemic.   I have received A+ for SWE240P Data Structures, SWE241P Algorithms, SWE243P Database Programming, SWE245P GUI Programming, SWE246P Mobile Programming, SWE250P Web Programming, SWE261P Software Testing and Debugging, SWE262P Programming Styles, SWE264P Distributed Software Architecture, and SWE 266P Software Security and Dependability.  And I received A for SWE265P Reverse Engineering and Modeling and SWE 267P Cloud and Security Foundations.  So I consider myself more knowledgeable in algorithms and data structures, object-oriented programming, databases, mobile programming, and web programming.","I have about two year's of professional experience with Java and current internship at Amazon is mostly Java programming. And I worked with C++ and SQL as well in the industry. I also learned C/C++ and SQL programming for a year during my undergraduate studies. Plus, almost all the previous courses I took at UCI are in Java and SQL.  macOS has been my primary operating system for more than 5 years. I used Windows for more than 5 years before that and during my professional work. I also managed Linux servers for my university student government during my undergraduate studies.   Additionally, I gained proficiency in Kotlin, Swift, Python, and Firebase during my two year's of work experience.",CourseTitleInstructorPositionWhenCS 161Algorithms and Data StructuresKinga LipskochTA2020-springCS 122Data ManagementPeter ZaspelTA2020-springICS 31Introduction to Computer ScienceJürgen SchönwälderTA2019-fall,CourseTakenGradeSWE 246PYA+SWE 240PYA+SWE 241PYA+SWE 243PYA+
60e84629-85a1-4aad-8f42-c951f3fb6d0f,I consider my area of expertise as - C/C++  - Python - Qt/PyQt - PyTorch - Java - Linux - Data Structures and Algorithms,"In terms of experience with programming languages, I took several courses during my undergraduate studies at Southeast University (SEU), China including Programming & Algorithmic Language (programming in C++), Course Design of Programming Language (C++ programming with graphical user interface), Professional Skills Training (building software using Java), Principle of Database (databases and SQL language).  As for operating systems, I took the course Operating System, which covers fundamental concepts of operating systems including process, threads, concurrency, security, etc. I also took EECS 211 Advanced System Software at UCI, giving me a practical view of operating systems with its labs.  Other experiences and knowledge include taking EECS 12 Introduction to Programming (programming in Python) at UCI, taking Data Structures during my undergraduate and EECS 215 (Design and Analysis of Algorithms) at UCI. I also took some AI/ML-related courses including Deep Learning and Its Application, Machine Vision and Applications at SEU, and CS 171 Introduction to Artificial Intelligence at UCI. Those courses require Python programming and using Python to build machine learning models. I was also involved in developing a spatial-aware multi-modal contrastive learning framework for the pre-training of multi-modal dense prediction using Python and PyTorch, as well as a reinforcement learning model to order-dispatching in a city-wide express.",,CourseTakenGradeICS 31NICS 46NICS 6DNICS 45CN
edb74997-67d6-434b-ab27-f78874452e55,"I have participated in computer architecture research for 2 years especially for FPGA based accelerator research. I have taken graduate level computer architecture classes during my master study at Georgia Tech. Yes. I have been TA for 2 courses in Georgia Tech, the first is CSE6010: Computer Problem Solving and CS3220: Processor Design. Both of these two courses are online based. I am also one of the TA for UCI CS 132 computer network for 2022 winter quarter.","I am familiar with C++, C, Python, and Verilog which are mainly used in my previous research. I have touched MySQL, Java during my database courses (CS4400) and software engineering courses(CS3300). For VHDL, I learned it in my VLSI synthesis class(ECE6132). I am familiar with Linux and Windows. I have built a RISC-V Fedora OS during my research. I also have experience with modification of Linux kernel (xv6) during my Operating System class (CS3210)   I am also familiar with Python and Verilog. I have taught undergraduate student with Verilog during my TA experience.",CourseTitleInstructorPositionWhenCS 3220Processor DesignHyesoon Kim (GaTech)TA2021-springCSE 6010Computer Problem SolvingElizabeth Cherry (GaTech)TA2020-fallCS 132Computer NetworksMarco LevoratoTA2022-winter,CourseTakenGradeCS 147NA+CS 151NACS 122BNACS 132NA
a2403f49-0b3b-4de0-8376-cdd2ade72287,"- I have three years' research experience in software engineering and my research interests are software configuration, evolutionary computation, and transfer learning.   - I have paper publishing experience on the topic of software engineering. I can use machine learning methods and different programming languages like Python and Java to help conduct the research.  - I don't have experience teaching online courses.","- I've taken C, C++ courses during my undergraduate. I can fulfill algorithms and basic command applications or simple graphical applications using these languages. I have embedded programming experience using C to control the printer. I've learned basic SQL grammar and a little application experience of storing data in MySQL.   - I have taken the undergraduate course on the principles of operating system. I have using, programming, and developing experience in Linux and Windows.   - In my current research, I use Python most time. I have experience in developing and researching using Python and Java. Besides, I have website-making experience through HTML, Javascript, Python, MySQL database, and backend frame Django.",CourseTitleInstructorPositionWhenCS 113Computer Game DevelopmentDarren DenenbergReader2021-fallINF 122Software Design: Structure and ImplJae Young BangTA2022-winterSWE 266PSoftware Security and DependabilityJoshua GarciaTA2022-springICS 32Programming with Software LibrariesBrent NashTA2022-fall,CourseTakenGradeICS 46Y88INF 43Y87ICS 45JY92
90961571-0b2f-4b3c-9ba2-249a87d9780f,"I do not have any experience teaching in general. My main area of expertise is coding, as that is what I mostly did for my undergraduate degree, primarily in C++.",I have 3 years of experience with C++ I have roughly 1 year of experience with Java I mostly used Windows operating systems my entire life.,,CourseTakenGradeCS 141NCS 112NCS 134NCS 161N
45aa71e9-bb54-44b5-acac-2b6783834b64,"Mobile programming (Android), Front-end development, Concurrency","9 years in Java, 4 years in Kotlin (Android development), 1 years in both C and C++ 3 years in Linux and 4 years in macOS",,CourseTakenGradeSWE 246PYA+SWE 240PYA+SWE 245PYA+SWE 244PYA+
9c6e9fd7-adf2-4d5d-ac30-58ea0a1266c2,"Compilers, Programming Languages, Operating Systems, Security, Program Analysis",I am vert comfortable with using C++. I completed most of my master's courses in C/C++. I also have some course project experience in Java.  My workplace before used Linux and I have been using macOS for 7 years now.  I used Python for my previous work.,,CourseTakenGradeICS 51YAICS 46YB+
d8d56212-94b6-4690-985f-353aceb2ebb7,"The main expertises are data science, like modeling, statistics, and math. For cs part, I am familiar with SQL, python, and r studio.","2 years SQL, 3 years Python, and r studio.  Windows is the main operation system.",,
12dcca66-a6a2-403e-a644-13189c73bc84,"Embedded System, information retrieval","Python,  Windows","CourseTitleInstructorPositionWhenICS 6NCOMP LINEAR ALGEBRAGopi MeenakshisundaramTA2022-fallICS 51INTRO COMPUTER ORGBOZORGZADEH, EliTA2023-springCS 145Embedded Software & Associated Lab Tony GivargisReader2020-springINF 141INFRMTION RETRIEVALKRONE MARTINS, AReader2021-winter",CourseTakenGradeICS 6NNACS 121YAICS 51YACS 145YA+
f8a5c6db-87e9-4236-a372-7cfff2d0aaa8,"My area of expertise is data science/ machine learning and neuroscience. As a cognitive science undergraduate student in the past, I was an instructional assistant for an introductory data science class. I am well versed in Python, object oriented programming,  and basic data science concepts. I do have experience teaching two quarters of online classes.","I have limited experience with JAVA, C, C++, SQL (a few courses). The languages I am super comfortable with are MATLAB and Python, and have worked toward research projects involving both.",CourseTitleInstructorPositionWhenCS GS108/STATS 6Introduction to Data ScienceJason FleischerReader2022-winterINF 161Social Analysis of Computing Arpita BhattacharyaTA2022-fallINF 113Requirement Analysis & EngineeringEmily NavarroTA2023-winterINF 113Requirement Analysis & EngineeringEmily NavarroTA2023-spring,CourseTakenGradeINF 113NINF 161NICS 31YAINF 151YA
afd241e0-22f6-4421-9b09-6d8c05886126,"High Performance Computing  and Algorithm development for specific Architectures.  Taught the Lab for an online course as a TA, but Students were still required to attend the Lab.","Familiar with Java & VHDL, Proficient with C, C++, Unix. Proficient Windows user.",CourseTitleInstructorPositionWhenICS 51Intro to Computer OrganizationA. NicolauTA2023-springICS 53Principles in System DesignJ. Wong-MaTA2021-springEECS 22Advanced C ProgrammingR. DoemerTA2017-fallCS 265Graph AlgorithmsD. EppsteinReader2022-winter,CourseTakenGradeICS 51NICS 53NICS 31NICS 45CN
7044cde8-db3b-4b9f-880b-52c552bc49d2,"My areas of expertise are Human-Data interaction, Artificial Intelligence, and Natural Language Processing. My special qualifications include NLP, Full Stack Development (Java Script), and Mobile App Development (Java, Android Studio).","For programming languages: Proficient in Python, Java, JavaScript, HTML, CSS, Django, Node.js, Pandas, Google Colab, Jupyter notebook Experienced with Haskell, TensorFlow, PyTorch, Heroku, MongoDB, and C language. I am familiar with macOS operating systems, have little experience with windows, and have no experience with a Linux machine system.",CourseTitleInstructorPositionWhenMSWE244PAlberto Martins  TA2022-fallMSWE246PAlberto Martins  TA2022-fallICS 04Human Factors for the WebDaniel Lowell GardnerTA2023-springMHCIDIN4MATX 285 Interactive TechDonald J. PattersonTA2023-winter,CourseTakenGradeICS 3NICS 5NICS 9NICS 33Y
e5b66bfd-6761-4ce2-b0f1-ab3888316cfa,"Currently attending the DTEI summer fellowship program. Programming in Python is considered my expertise. But I can grasp and work on any programming language in least amount of time with ease. Languages I know include: Python, C, C++, C#,  VHDL, Basics of SQL. Received certification for the course Data Structures and Algorithms. Computer Communication Networks and Computer Networks lab were taken as a part of Undergraduate studies. I have experience as a TA for 2 quarters(Winter-2023, Spring-2023)","Operating Systems:  I have mostly used and worked using a Windows laptop for all my project work during Undergraduate studies and during my work at Collins Aerospace for various tasks. I have a few projects and course work that needs Linux and have worked on it. I have also used Linux (Ubuntu) for one of my project tasks during my work experience at Collins Aerospace. Languages: Python:  Worked on automation in various projects by developing tools to make software development easier which include:     1. A tool that generated binary configuration tables based on a data provided in CSV files and calculating parameters based on ARINC  653      Communication protocol used in an FCC of a helicopter.     2. Developed a tool that extracts data from IBM DOORS and Synergy, store it in an Object-Oriented database created using ZODB package     3. Was a part of Tool developed using PyQT for calculating some mechanical parameters for an extended mechanical team. C#: Developed code in C# for a part inventory Management System for Collins Aerospace as a part of upgrade to the application written in     VB6. The access to database was using SQL where data was stored in Oracle Database. SQL: Developed code in C# for a part inventory Management System for Collins Aerospace as a part of upgrade to the application written in     VB6. The access to database was using SQL where data was stored in Oracle Database. C++: Had taken C++ as a part of elective in the undergraduate curriculum. Practiced implementation on HackerRank and received      certification which is attached in the following LinkedIn profile.  C:  Was a part of curriculum in undergraduate studies.     1.Was part of Secure Boot project as a support in deploying it on an NXP board with ARM processor where programming was done in C.    2.Had a laboratory practice exam also as a part of Curriculum along with theory classes.     3.MSP430 Microcontroller workshop implementation was carried out in C.    4.Laboratory for ARM Cortex M3 Microcontroller was carried out in C    5.Practiced implementation on HackerRank and received certification which is attached in the following LinkedIn profile.  Java: Have undertaken a course to learn Java and practiced implementation on HackerRank to receive certification which is attached in the      following LinkedIn Profile. VHDL: Had hands on experience in programming with VHDL as my final year project was based on converting  an Analog Circuit to work on      a digital medium i.e., an Xilinx Spartan FPGA by coding in VHDL . LinkedIn Profile: www.linkedin.com/in/ bhavya-chunchu-31843a93",CourseTitleInstructorPositionWhenINF 124Internet applications EngineeringMohammad MoshirpourTA2023-winterICS 31Intro to ProgrammingMohammad MoshirpourTA2023-spring,CourseTakenGradeCS 143AYICS 46YICS 31YICS 33Y
17192287-9fce-4ed4-b96b-6219a420eef6,"Linear algebra, artificial intelligence, machine learning, discrete math, python, optimization, graph theory, anything that is math heavy.","Experience with Java (3 semesters of classes), a couple big projects in Java.",CourseTitleInstructorPositionWhenCS 171Intro to AIK. KaskTA2021-fallCS 171Intro to AIK. KaskTA2021-spring,CourseTakenGradeCS 171YNACS 161YACS 162YAICS 6NN
07428e5a-a474-4ccb-b5b5-cbac620a4a85,"Anything related to Programming and software development. In CSE, I've completed my B.E in CS Engineering with a 9.2GPA. I have no experience teaching online courses but have taught a couple of peer learning courses in Blockchain and Linux OS at my previous institution.","I'm highly proficient in Java, C, C++ and SQL having built multiple systems in these languages, most recently a comprehensive gRPC server and client for the company I was with before joining UCI. My preferred OS is Linux when it comes to academics, S/W dev but use Windows on the side for casual viewing. I have no experience with macOS as of now. I am fluent in JS, Python, MongoDB and similar NOSQL languages as well as perl and shell scripting. I also have used frameworks such as flask, django etc for web dev.",CourseTitleInstructorPositionWhenCS 122AIntroduction to DatabasesSharad MehrotraTA2022-fallCS 143AOperating systemsArdalan Amiri SaniTA2023-winterICS 45CIntroduction to C++Ray KlefstadTA2023-spring,CourseTakenGradeICS 45JYSICS 45CYSCS 223YA+
85306182-c29e-41ff-b9a7-99e1bc96f46d,"My area of expertise lies in anything computers and coding, specifically building projects related to Machine Learning, Computer Vision, Big Data, Data Engineering, and Systems. I have also built good communication skills and social skills by virtue of participating in my local Toastmasters club  Coming to my computer science qualification, there are two major areas:  Machine Learning and Computer Vision - Integrated image recognition for American Sign Language into a multi-functional Android App for differently-abled people so they can communicate easily with each other - Trained, tested, and compared accuracies of standard Convolutional Neural Networks like VGG16, ResNet50, and Xception on the Google Landmark Recognition Challenge dataset - Predicted compute, memory, and network loads on Virtual Machines in the cloud using an open source dataset to be able to efficiently auto-scale its resources using a multi-layered LSTM network. The paper for the same “Multivariate Resource Usage Forecasting for Virtual Machine in Cloud” is under review Relevant Technologies: Python, Keras, Tensorflow, OpenCV, Jupyter Notebook, Android  Systems, Big Data, and the Internet of Things - I have worked on an automated billing system using cloud and RFID and published an IEEE paper on the same: https://ieeexplore.ieee.org/document/8960144  - As part of my work, I have built connectors like Twitter and S3 to fetch data from these sources and flush them to warehouses like Snowflake and BigQuery. This involved building distributed systems able to spawn jobs that pull and flush this data periodically - Another project at my company involved building a scheduler that spawns jobs to migrate webhook data between different regions like US, EU, and UK to comply with GDPR regulations Relevant Technologies: Kubernetes, Docker, GCP, AWS, Django, PostgreSQL, REST API, Java, Python, Raspberry Pi, RFID, Golang  I have taught middle school children Mathematics and English as part of a Rotaract club initiative during my undergraduate studies. I have also tutored neighboring students in Mathematics for their 10th-standard final exams. Apart from this, I have also participated in Dhwani Toastmasters where I gave multiple speeches and participated in various roles in our meetings. These are a few experiences I had teaching in a physical medium although I have not yet taught online.","Java — I studied this subject as a course in my undergraduate and built a Library Management System for the same. After that, I had 3.5 years of experience using Java at my company which was focused on building data pipelines. I am well-versed in design patterns and OOPS concepts for the same  C — I have 2 years of experience in C during my undergraduate working on college projects. I have built a keylogger as well as the Game of Fifteen using C. I have also used C in my Arduino-based projects  SQL — Similar to Java, I had Database Management Systems as a subject in college. Apart from that I have used SQL in my company on PostgreSQL, Bigquery, and other data warehouses regularly. I can write fairly complex queries which include JOINs, nested queries, and user-defined functions  Linux — I have 2 years of experience with Ubuntu from college when I set up a dual boot on my Windows laptop. I used this mainly for my undergraduate projects which required installation of services like MySQL, Kafka, etc. The package manager allowed for easier development of these projects and starting and stopping of these services  MacOS — I used MacOS only during my company experience. I am well versed with MacOS for almost 3.5 years and the similarities it shares with Linux. I am accustomed to the command-line interface and development using MacOS  Python — I have almost 3 years of experience using Python. I used Python for all my undergraduate projects that involved machine learning and any kind of automation. I have experience with frameworks such as Keras, Tensorflow, OpenCV, Selenium, Flask, and Django.  Kubernetes and Docker — I have around 2 years of experience with containerization systems and deploying applications to the cloud, specifically using Google Kubernetes Engine. This experience was gained during my employment at Fivetran",,CourseTakenGradeCS 122BY9ICS 45CY10CS 143AY9CS 151Y9
1e68b5a0-1d17-4337-a550-56ccf6617534,"My area of expertise is Machine Learning and Computer Vision. I have 4 research papers in this field, 1 published and 3 yet to be published (Accepted at IEEE conferences and submitted for publishing) in IEEE. I have an exceptionally high GPA of 9.71 (on a scale of 10) in my undergraduate degree (Bachelor of Engineering in Information Technology). I was also the topper of the Information Technology department at Pune Institute of Computer Technology in my Sophomore year with a near-perfect GPA of 9.98. I have also worked as a Lab Assistant for the Artificial Intelligence Lab under the guidance of Dr. Shewta Dharmadhikari in my junior year. My other achievements include - Top 7 finish at the Safer India Hackathon among 1200+ teams, Top 5 finish at the IEEE DoubleSlash Hackathon. I have also done 2 internships - First as an ML Engineer at Omdena and as an AI Researcher at IoTIoT.in. During the Pandemic when the mode of teaching was switched to online, being the Lab Assistant I conducted a few Lab sessions of the AI Lab through Microsoft Teams. This may not count as a significant teaching experience but through my knowledge and skills, I am confident that I would be able to overcome all possible challenges and hurdles.","I have a course-level experience with Java, C, C++, and MySQL. During the time of my internships and research work, I have primarily used Python language. I have worked with various tools and technologies such as - Detectron2, Tensorflow, Keras, PyTorch, NodeJS, AngularJS, ReactJS, and many more. During my undergraduate projects, I have worked with MongoDB, Firebase, and MySQL for Database management and Linux and Windows as the operating systems.",,CourseTakenGradeCS 171NCS 184ANCS 178NICS 32AN
c0483567-dad5-4729-8977-5a1e619a8c3e,"My area of expertise lies in software development, where optimizing database architectures and interfaces through algorithms piques my interest the most. My strong foundations in mathematics pushed me to explore integrating machine learning into applications, allowing me to dig deep into the statistics behind ML algorithms.  My credentials are my incessant efforts during my B. Tech in Computer Engineering with a GPA of 9.16/10 from the University of Mumbai, India. I consistently excelled during practical assignments in the lab, showing acute proficiency in converting the gained theoretical knowledge in the classroom to a real-world application. Knowledge and interest gained through academics created a scaffold for me to build tangible projects where I truly put my skills to the test to stand by my interests. So far, I have worked on 4 conference proceedings (winning Best Paper for “CyINSAT: Cyclone Dataset from Indian National Satellite for Forecasting” in ICICV 2022) and 2 research chapters in computer vision and natural language processing applications in healthcare and disaster management domains. I also have led to the creation of a cyclone dataset affecting the Indian subcontinent consolidating satellite imagery with synoptic data in intervals of 3 hours; this dataset is secured under the Copyright of the Indian Government (Diary No.: 21974/2022-CO/L, ROC: L-127278/2023).  My nature to pursue and encourage others to pursue active development by creating prototypes of our knowledge led to be a part of my undergraduate technical club called “DJ Unicode”, where I was responsible for mentoring a pool of juniors in web development, carefully creating syllabus covering essentials, overseeing the completion of weekly assignments to the group and motivating them to take up projects within the club. Under the club, I also held a frontend development workshop simplifying HTML and JavaScript for the freshmen - https://www.youtube.com/watch?v=3OjuNvZyykk.","I’ve been in Python, JavaScript, and C for the last 3 years. Majorly for my web development, I’ve used the MERN stack exploring static site generation and server-side rendering with Next.js and Gatsby frameworks. As a side track, I explored 3D model creation on Blender and integration with the web using Three.js. I learned Tensorflow and PyTorch for my AI and ML journey, occasionally leveraging help from the HuggingFace library for transformer algorithms. While I started with MySQL for database management earlier on for personal projects, I happened to use MongoDB for the majority of my internships. My experience with OS has been Windows and WSL (Linux subsystem).",,CourseTakenGradeCS 161NICS 46NCS 178NCS 141N
c7d9fb6d-7c2a-418d-80f4-c61017132fc5,"My area of expertise is computer architecture and digital logic design. In computer science, I do not have any special qualifications. I have experience teaching an online course on Digital Logic Design at my master's institution.","I am acquianted with C, C++ and VHDL. I have 3-4 years of experience of working with Linux OS, and worked with Windows OS throughout my life. I have experience in Python and MATLAB.",,CourseTakenGradeCS 151NCS 147NCS 141NICS 6BN
9dd548cd-2334-429e-a3c7-87207bc8447a,"I would consider compilers, low-level systems, C/C++, and computational theory my areas of expertise.  I TA'd for CS142A (Intro to Compilers/Interpreters) in the Spring 2019 quarter and received excellent reviews. This course involved implementing a compiler and interpreter in the Java programming language.   I TA'd for CS162 (Formal Languages/Automata) in Spring 2020 with Professor Shindler as well. It was virtual, but the students seemed to like me :)  I TA'd for ICS 46 for Professor Shindler during Fall 2020 and Winter 2021 and Fall 2021.  My current research is focused on compilers (LLVM in particular (C++)).  I also worked for two years in the medical devices industry programming low level embedded devices in assembly, C, and C++.","Java: 1 year C/C++: 3-4 years (extensive experience with LLVM compiler) Unix: 1-2 years Python: 3-4 years Haskell: ~1 year  I use all operating systems (Windows, MacOS, Linux extensively)",CourseTitleInstructorPositionWhenCS 142AIntro to Compilers and InterpretersLuc BlaserTA2019-springCS 162Formal Languange and AutomataMichael ShindlerTA2020-springICS 46DATA STRC IMPL&ANLSData StructuresMichael ShindlerTA2020-fallICS 46DATA STRC IMPL&ANLSData StructuresMichael ShindlerTA2021-winter,CourseTakenGradeCS 162NA
34d4a1e6-00b6-49b6-9de3-b7549ce3f6dc,"My area of expertise lies in programming languages, algorithms and data structures, software engineering, databases, and artificial intelligence. I was an undergraduate computer science major student in University of Michigan. I took several courses about programming languages, algorithms and data structures, software engineering, databases, and artificial intelligence in my undergraduate study. I think I could be a good reader for cs courses.","1. Developed and deployed a Driver Monitoring System for vehicles within the Ubuntu/Linux environment, achieving successful implementation of a distraction algorithm. Utilize the MediaPipe Framework in C++ to construct robust and efficient code for the algorithm.  2. Developed an online shopping e-commerce application using Spring Boot, Spring MVC, and Spring Data. Implemented server-side REST APIs, such as user profile service, goods service, goods category service, and shopping cart service using Spring MVC, Spring Data, and MySQL. Used Spring Boot Actuator to monitor application health, Git as source code version control, and Maven to manage dependencies.  3. Utilized ER Diagram to design and applied MySQL to implement a relational database schema to persist, manage and process fiction information of the social media. Implemented native SQL query using Java JDBC to create interfaces for CRUD database operations. Executed Java code to export data from database to JSON files subsequently transferred it to MongoDB.",,CourseTakenGradeCS 171NCS 122ANCS 122BNCS 147N
63dde017-9784-4302-be8a-1bccbab81ebf,"I am more humanities focused with a background in sociology, so my area of expertise is in qualitative analysis of how systems interact and effect each other and society. I have no background in computer science or coding. My research is focused on video games.",Very limited advanced technical experience.,CourseTitleInstructorPositionWhenINF 289HCID IN INDUSTRYThomas OlsonTA2023-winterINF 148Ubiquitous ComputingKylie PepplerTA2022-winterINF 289HCID IN INDUSTRYThomas OlsonTA2023-springINF 164ChildrenRebecca BlackTA2022-fall,CourseTakenGradeINF 164N
a9dd6570-9b6a-4d0b-afd5-bce9161b558a,"- BS in Computer Science with specialization in Data Science and a minor in Mathematics from the University of Washington, completed in December 2021 - I consider data science adjacent topics as well as Java (almost every college course was in Java) my areas of expertise. - I have TA'd for two courses at the undergraduate level - CSE 333 Systems Programming entirely online : https://courses.cs.washington.edu/courses/cse333/21sp/ - CSE 351 Hardware/Software Interface in-person except for online office-hours : https://courses.cs.washington.edu/courses/cse351/21au/","Java: been using since high school, most college class used Java C/C++: Hardware/Software Interface and Systems Programming were based in C/C++, so two quarters as student, two quarters as TA SQL: Took two SQL courses in college: CSE 344 Database Management Systems and CSE 444 Database Systems Internals Used Windows, Linux since before college, used macOS since starting full-time job in early 2022. Also experienced in Python (personal projects) and JavaScript (full-time job from 2022-2023)",CourseTitleInstructorPositionWhenCSE 333 (UW)Systems ProgrammingJustin Hsia/Travis McGahaTA2021-springCSE 351 (UW)The Hardware/Software InterfaceJustin HsiaTA2021-fall,CourseTakenGradeCS 122AY3.9ICS 6BY3.8CS 152Y3.8
82ee2121-0174-40c0-93c7-62da6991b58b,"I have been a TA of machine learning and deep learning at the Sharif University of Technology in Iran. I am also doing research on machine learning and Natural Language Processing. I am also experienced in coding in Python and Java.  At UCI, I have been TA for the Machine learning course by professor Mandt and ICS 53 with professor Harris.","I am experienced in Java, Python, and Unix operating systems. I don't know VHDL and Scheme. I have experience in typical Windows Operating System usages, but not in Windows user administration.","CourseTitleInstructorPositionWhenCS 273MACHINE LEARNING MANDTTA2020-fallICS 53 PRINCP IN SYS DESGNHARRIS, ITA2021-winterCS 274PDeep LearningBaldi, PTA2023-springICS 51Introduction to programmingHARRIS, ITA2022-summer",CourseTakenGradeCS 273AYICS 53N
c2ea3567-6b05-464b-b4e9-5daea8cbf9e2,"My area of expertise is software development especially full stack web development using Java, ReactJS, Spring Boot, REST APIs, SQL and MongoDB.  I have a professional work experience of 2 years as a full stack developer at Goldman Sachs, where I was one of the top percentile performer in the team and cohort. Furthermore, I received a return offer for the above job based on my 2019 summer internship at the firm, which demonstrates my proficiency in computer science concepts and problem solving. Along with this I have completed many MOOC courses pertaining to my area of expertise.  I used to tutor regularly at Community of Coders, VJTI which is my undergraduate institute's club for teaching coding fundamentals to freshmen and sophomores. During COVID-19, I took multiple online Zoom classes for teaching the basics of C++ language to a group of more than 40 students and received good feedback from my juniors. Hence I would prefer to have the position of TA for course.","My core expertise is in Java languages which I have honed for 2 years as a professional developer and 2 years before that during my undergraduate years. I have 3 years of C++ experience and can comfortably code in C++ with some brushing up on the syntax since I have not been using it actively. SQL has been my go-to query language right from my sophomore year till now, so have more than 4 years of experience using SQL and have good command on it.  My undergraduate education and labs took place in a Linux environment for 4 years, which enabled me to have good familiarity of the Linux environment. I know most of the commands and working of the Linux OS especially Ubuntu. My projects at Goldman Sachs were entirely done on Windows OS and have good experience with using and administrating Windows 10 too. My personal projects and graduate work is performed by me on my MacBook, which has bolstered my MacOs understanding significantly. To summarise, I am comfortable working with all 3 Operating systems and troubleshoot issues on all of them.  I am proficient in MongoDB, ReactJS, Redux, Spring Boot, HTML, CSS and Agile Methodologies as well, which I believe is unique and a great fit for the Teaching Assistant position in any of the courses. Having both front end and back end experience enables me to think of a well rounded application design for any use case.",,CourseTakenGradeCS 260PY4.0CS 220PY4.0CS 253PY4.0CS 201PY4.0
